date,state,hospitalizedCurrently,death,positiveIncrease
2020-07-14,AK,25,17,40
2020-07-14,AL,1353,1164,1710
2020-07-14,AR,445,331,794
2020-07-14,AS,,0,0
2020-07-14,AZ,3517,2337,4273
2020-07-14,CA,8145,7087,7346
2020-07-14,CO,378,1589,329
2020-07-14,CT,66,4372,20
2020-07-14,DC,91,568,40
2020-07-14,DE,48,518,90
2020-07-14,FL,8354,4514,9194
2020-07-14,GA,2741,3054,3394
2020-07-14,GU,3,5,0
2020-07-14,HI,,22,23
2020-07-14,IA,186,757,320
2020-07-14,ID,129,102,500
2020-07-14,IL,1416,7419,707
2020-07-14,IN,767,2775,648
2020-07-14,KS,,288,0
2020-07-14,KY,449,635,570
2020-07-14,LA,1362,3445,2215
2020-07-14,MA,560,8340,303
2020-07-14,MD,415,3334,733
2020-07-14,ME,17,114,8
2020-07-14,MI,543,6326,666
2020-07-14,MN,236,1548,398
2020-07-14,MO,811,1093,936
2020-07-14,MP,,2,0
2020-07-14,MS,1059,1272,862
2020-07-14,MT,29,34,109
2020-07-14,NC,1109,1552,1956
2020-07-14,ND,42,78,51
2020-07-14,NE,101,288,227
2020-07-14,NH,24,391,14
2020-07-14,NJ,888,15582,393
2020-07-14,NM,172,548,263
2020-07-14,NV,983,612,1104
2020-07-14,NY,820,24994,912
2020-07-14,OH,1017,3069,1142
2020-07-14,OK,546,428,993
2020-07-14,OR,235,244,367
2020-07-14,PA,678,6931,929
2020-07-14,PR,206,169,113
2020-07-14,RI,69,985,101
2020-07-14,SC,1550,993,2221
2020-07-14,SD,62,109,48
2020-07-14,TN,1222,767,1514
2020-07-14,TX,10569,3322,10745
2020-07-14,UT,231,226,448
2020-07-14,VA,1127,1977,801
2020-07-14,VI,,6,0
2020-07-14,VT,15,56,4
2020-07-14,WA,332,1399,1101
2020-07-14,WI,293,833,967
2020-07-14,WV,59,97,148
2020-07-14,WY,14,22,89
2020-07-13,AK,22,17,60
2020-07-13,AL,1335,1124,1958
2020-07-13,AR,439,323,572
2020-07-13,AS,,0,0
2020-07-13,AZ,3373,2245,1357
2020-07-13,CA,7895,7040,8358
2020-07-13,CO,324,1586,322
2020-07-13,CT,74,4371,223
2020-07-13,DC,93,568,59
2020-07-13,DE,49,517,75
2020-07-13,FL,8051,4381,12624
2020-07-13,GA,2600,3026,3643
2020-07-13,GU,3,5,0
2020-07-13,HI,,19,20
2020-07-13,IA,186,754,458
2020-07-13,ID,86,102,397
2020-07-13,IL,1362,7394,883
2020-07-13,IN,764,2762,425
2020-07-13,KS,,288,1447
2020-07-13,KY,440,629,264
2020-07-13,LA,1308,3423,1705
2020-07-13,MA,570,8330,230
2020-07-13,MD,386,3325,418
2020-07-13,ME,18,114,19
2020-07-13,MI,543,6321,422
2020-07-13,MN,247,1542,491
2020-07-13,MO,932,1083,447
2020-07-13,MP,,2,0
2020-07-13,MS,1020,1250,393
2020-07-13,MT,28,32,85
2020-07-13,NC,1040,1510,1827
2020-07-13,ND,43,78,108
2020-07-13,NE,98,285,174
2020-07-13,NH,22,391,30
2020-07-13,NJ,892,15560,224
2020-07-13,NM,170,545,255
2020-07-13,NV,953,593,832
2020-07-13,NY,792,24989,557
2020-07-13,OH,949,3064,1261
2020-07-13,OK,499,424,510
2020-07-13,OR,246,237,268
2020-07-13,PA,682,6911,476
2020-07-13,PR,159,167,356
2020-07-13,RI,67,984,175
2020-07-13,SC,1488,972,1520
2020-07-13,SD,63,109,25
2020-07-13,TN,1120,749,3314
2020-07-13,TX,10405,3235,5655
2020-07-13,UT,252,216,546
2020-07-13,VA,1129,1968,972
2020-07-13,VI,,6,25
2020-07-13,VT,10,56,5
2020-07-13,WA,331,1438,1438
2020-07-13,WI,283,827,505
2020-07-13,WV,63,96,52
2020-07-13,WY,17,21,0
2020-07-12,AK,27,17,94
2020-07-12,AL,1068,1121,1640
2020-07-12,AR,412,321,1564
2020-07-12,AS,,0,0
2020-07-12,AZ,3432,2237,2537
2020-07-12,CA,7854,7017,8460
2020-07-12,CO,324,1586,400
2020-07-12,CT,77,4348,0
2020-07-12,DC,95,568,46
2020-07-12,DE,58,517,61
2020-07-12,FL,7542,4346,15300
